LAST SEEN   TYPE      REASON                    OBJECT                                             MESSAGE
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/order-repository-hpa       No recommendation
34m         Normal    ScalingReplicaSet         deployment/order-repository                        Scaled up replica set order-repository-8457dd7bbf to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/order-repository                        Scaled down replica set order-repository-8457dd7bbf to 1 from 2
58m         Normal    Killing                   pod/order-service-7bcf7b89c7-9g8xj                 Stopping container order-service
57m         Normal    Scheduled                 pod/order-service-7bcf7b89c7-n54jw                 Successfully assigned default/order-service-7bcf7b89c7-n54jw to gke-brewstand-prod-default-pool-3be66a7f-8m25
57m         Normal    Pulling                   pod/order-service-7bcf7b89c7-n54jw                 Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_service:latest"
57m         Normal    Pulled                    pod/order-service-7bcf7b89c7-n54jw                 Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_service:latest" in 323ms (323ms including waiting)
57m         Normal    Created                   pod/order-service-7bcf7b89c7-n54jw                 Created container order-service
57m         Normal    Started                   pod/order-service-7bcf7b89c7-n54jw                 Started container order-service
33m         Normal    Scheduled                 pod/order-service-7bcf7b89c7-qsjgk                 Successfully assigned default/order-service-7bcf7b89c7-qsjgk to gke-brewstand-prod-default-pool-3be66a7f-6hm7
33m         Normal    Pulling                   pod/order-service-7bcf7b89c7-qsjgk                 Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_service:latest"
33m         Normal    Pulled                    pod/order-service-7bcf7b89c7-qsjgk                 Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/order_service:latest" in 412ms (412ms including waiting)
33m         Normal    Created                   pod/order-service-7bcf7b89c7-qsjgk                 Created container order-service
33m         Normal    Started                   pod/order-service-7bcf7b89c7-qsjgk                 Started container order-service
35m         Normal    Killing                   pod/order-service-7bcf7b89c7-w62f6                 Stopping container order-service
58m         Normal    SuccessfulDelete          replicaset/order-service-7bcf7b89c7                Deleted pod: order-service-7bcf7b89c7-9g8xj
57m         Normal    SuccessfulCreate          replicaset/order-service-7bcf7b89c7                Created pod: order-service-7bcf7b89c7-n54jw
35m         Normal    SuccessfulDelete          replicaset/order-service-7bcf7b89c7                Deleted pod: order-service-7bcf7b89c7-w62f6
33m         Normal    SuccessfulCreate          replicaset/order-service-7bcf7b89c7                Created pod: order-service-7bcf7b89c7-qsjgk
33m         Normal    SuccessfulRescale         horizontalpodautoscaler/order-service-hpa          New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/order-service-hpa          No recommendation
33m         Normal    ScalingReplicaSet         deployment/order-service                           Scaled up replica set order-service-7bcf7b89c7 to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/order-service                           Scaled down replica set order-service-7bcf7b89c7 to 1 from 2
57m         Normal    Killing                   pod/payment-controller-7975ffcf9-d6cng             Stopping container payment-controller
56m         Normal    Scheduled                 pod/payment-controller-7975ffcf9-htbcz             Successfully assigned default/payment-controller-7975ffcf9-htbcz to gke-brewstand-prod-default-pool-3be66a7f-h8x6
56m         Normal    Pulling                   pod/payment-controller-7975ffcf9-htbcz             Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_controller:latest"
56m         Normal    Pulled                    pod/payment-controller-7975ffcf9-htbcz             Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_controller:latest" in 337ms (337ms including waiting)
56m         Normal    Created                   pod/payment-controller-7975ffcf9-htbcz             Created container payment-controller
56m         Normal    Started                   pod/payment-controller-7975ffcf9-htbcz             Started container payment-controller
56m         Warning   Unhealthy                 pod/payment-controller-7975ffcf9-htbcz             Startup probe failed: Get "http://10.120.6.28:3005/": dial tcp 10.120.6.28:3005: connect: connection refused
56m         Warning   Unhealthy                 pod/payment-controller-7975ffcf9-htbcz             Startup probe failed: Get "http://10.120.6.28:3005/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
35m         Normal    Killing                   pod/payment-controller-7975ffcf9-tj4jw             Stopping container payment-controller
35m         Normal    Scheduled                 pod/payment-controller-7975ffcf9-ttrhf             Successfully assigned default/payment-controller-7975ffcf9-ttrhf to gke-brewstand-prod-default-pool-3be66a7f-k8r3
35m         Normal    Pulling                   pod/payment-controller-7975ffcf9-ttrhf             Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_controller:latest"
35m         Normal    Pulled                    pod/payment-controller-7975ffcf9-ttrhf             Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_controller:latest" in 327ms (327ms including waiting)
35m         Normal    Created                   pod/payment-controller-7975ffcf9-ttrhf             Created container payment-controller
35m         Normal    Started                   pod/payment-controller-7975ffcf9-ttrhf             Started container payment-controller
35m         Warning   Unhealthy                 pod/payment-controller-7975ffcf9-ttrhf             Startup probe failed: Get "http://10.120.1.22:3005/": dial tcp 10.120.1.22:3005: connect: connection refused
35m         Warning   Unhealthy                 pod/payment-controller-7975ffcf9-ttrhf             Startup probe failed: Get "http://10.120.1.22:3005/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
57m         Normal    SuccessfulDelete          replicaset/payment-controller-7975ffcf9            Deleted pod: payment-controller-7975ffcf9-d6cng
56m         Normal    SuccessfulCreate          replicaset/payment-controller-7975ffcf9            Created pod: payment-controller-7975ffcf9-htbcz
35m         Normal    SuccessfulDelete          replicaset/payment-controller-7975ffcf9            Deleted pod: payment-controller-7975ffcf9-tj4jw
35m         Normal    SuccessfulCreate          replicaset/payment-controller-7975ffcf9            Created pod: payment-controller-7975ffcf9-ttrhf
35m         Normal    SuccessfulRescale         horizontalpodautoscaler/payment-controller-hpa     New size: 2; reason: cpu resource utilization (percentage of request) above target
59m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/payment-controller-hpa     No recommendation
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/payment-controller-hpa     did not receive metrics for targetted pods (pods might be unready)
35m         Normal    ScalingReplicaSet         deployment/payment-controller                      Scaled up replica set payment-controller-7975ffcf9 to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/payment-controller                      Scaled down replica set payment-controller-7975ffcf9 to 1 from 2
34m         Normal    Scheduled                 pod/payment-repository-67d68f89b6-5rm4c            Successfully assigned default/payment-repository-67d68f89b6-5rm4c to gke-brewstand-prod-default-pool-3be66a7f-k8r3
34m         Normal    Pulling                   pod/payment-repository-67d68f89b6-5rm4c            Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_repository:latest"
34m         Normal    Pulled                    pod/payment-repository-67d68f89b6-5rm4c            Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_repository:latest" in 304ms (304ms including waiting)
34m         Normal    Created                   pod/payment-repository-67d68f89b6-5rm4c            Created container payment-repository
34m         Normal    Started                   pod/payment-repository-67d68f89b6-5rm4c            Started container payment-repository
34m         Warning   Unhealthy                 pod/payment-repository-67d68f89b6-5rm4c            Startup probe failed: dial tcp 10.120.1.25:50065: connect: connection refused
56m         Normal    Scheduled                 pod/payment-repository-67d68f89b6-wch8j            Successfully assigned default/payment-repository-67d68f89b6-wch8j to gke-brewstand-prod-default-pool-3be66a7f-kp5s
56m         Normal    Pulling                   pod/payment-repository-67d68f89b6-wch8j            Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_repository:latest"
56m         Normal    Pulled                    pod/payment-repository-67d68f89b6-wch8j            Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_repository:latest" in 338ms (338ms including waiting)
56m         Normal    Created                   pod/payment-repository-67d68f89b6-wch8j            Created container payment-repository
56m         Normal    Started                   pod/payment-repository-67d68f89b6-wch8j            Started container payment-repository
56m         Warning   Unhealthy                 pod/payment-repository-67d68f89b6-wch8j            Startup probe failed: dial tcp 10.120.2.25:50065: connect: connection refused
35m         Normal    Killing                   pod/payment-repository-67d68f89b6-wch8j            Stopping container payment-repository
57m         Normal    Killing                   pod/payment-repository-67d68f89b6-x9xcw            Stopping container payment-repository
57m         Normal    SuccessfulDelete          replicaset/payment-repository-67d68f89b6           Deleted pod: payment-repository-67d68f89b6-x9xcw
56m         Normal    SuccessfulCreate          replicaset/payment-repository-67d68f89b6           Created pod: payment-repository-67d68f89b6-wch8j
35m         Normal    SuccessfulDelete          replicaset/payment-repository-67d68f89b6           Deleted pod: payment-repository-67d68f89b6-wch8j
34m         Normal    SuccessfulCreate          replicaset/payment-repository-67d68f89b6           Created pod: payment-repository-67d68f89b6-5rm4c
34m         Normal    SuccessfulRescale         horizontalpodautoscaler/payment-repository-hpa     New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/payment-repository-hpa     No recommendation
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/payment-repository-hpa     did not receive metrics for targetted pods (pods might be unready)
34m         Normal    ScalingReplicaSet         deployment/payment-repository                      Scaled up replica set payment-repository-67d68f89b6 to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/payment-repository                      Scaled down replica set payment-repository-67d68f89b6 to 1 from 2
56m         Normal    Scheduled                 pod/payment-service-6754b67c7b-cdd8k               Successfully assigned default/payment-service-6754b67c7b-cdd8k to gke-brewstand-prod-default-pool-3be66a7f-kp5s
56m         Normal    Pulling                   pod/payment-service-6754b67c7b-cdd8k               Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_service:latest"
56m         Normal    Pulled                    pod/payment-service-6754b67c7b-cdd8k               Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_service:latest" in 313ms (313ms including waiting)
56m         Normal    Created                   pod/payment-service-6754b67c7b-cdd8k               Created container payment-service
56m         Normal    Started                   pod/payment-service-6754b67c7b-cdd8k               Started container payment-service
35m         Normal    Killing                   pod/payment-service-6754b67c7b-cdd8k               Stopping container payment-service
34m         Normal    Scheduled                 pod/payment-service-6754b67c7b-lklpm               Successfully assigned default/payment-service-6754b67c7b-lklpm to gke-brewstand-prod-default-pool-3be66a7f-kp5s
34m         Normal    Pulling                   pod/payment-service-6754b67c7b-lklpm               Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_service:latest"
34m         Normal    Pulled                    pod/payment-service-6754b67c7b-lklpm               Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/payment_service:latest" in 277ms (277ms including waiting)
34m         Normal    Created                   pod/payment-service-6754b67c7b-lklpm               Created container payment-service
34m         Normal    Started                   pod/payment-service-6754b67c7b-lklpm               Started container payment-service
57m         Normal    Killing                   pod/payment-service-6754b67c7b-zxxfk               Stopping container payment-service
57m         Normal    SuccessfulDelete          replicaset/payment-service-6754b67c7b              Deleted pod: payment-service-6754b67c7b-zxxfk
56m         Normal    SuccessfulCreate          replicaset/payment-service-6754b67c7b              Created pod: payment-service-6754b67c7b-cdd8k
35m         Normal    SuccessfulDelete          replicaset/payment-service-6754b67c7b              Deleted pod: payment-service-6754b67c7b-cdd8k
34m         Normal    SuccessfulCreate          replicaset/payment-service-6754b67c7b              Created pod: payment-service-6754b67c7b-lklpm
34m         Normal    SuccessfulRescale         horizontalpodautoscaler/payment-service-hpa        New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/payment-service-hpa        No recommendation
34m         Normal    ScalingReplicaSet         deployment/payment-service                         Scaled up replica set payment-service-6754b67c7b to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/payment-service                         Scaled down replica set payment-service-6754b67c7b to 1 from 2
8s          Warning   FailedScheduling          pod/postgres-644db4d66c-ncrzq                      0/8 nodes are available: persistentvolumeclaim "postgres-volume-claim" not found. preemption: 0/8 nodes are available: 8 Preemption is not helpful for scheduling..
98s         Normal    NotTriggerScaleUp         pod/postgres-644db4d66c-ncrzq                      pod didn't trigger scale-up:
22m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/postgres-hpa               did not receive metrics for targetted pods (pods might be unready)
2m22s       Warning   FailedGetResourceMetric   horizontalpodautoscaler/postgres-hpa               No recommendation
57m         Normal    Scheduled                 pod/review-controller-9b8468d56-lx2pb              Successfully assigned default/review-controller-9b8468d56-lx2pb to gke-brewstand-prod-default-pool-3be66a7f-b97d
57m         Normal    Pulling                   pod/review-controller-9b8468d56-lx2pb              Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/review_controller:latest"
57m         Normal    Pulled                    pod/review-controller-9b8468d56-lx2pb              Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/review_controller:latest" in 392ms (392ms including waiting)
57m         Normal    Created                   pod/review-controller-9b8468d56-lx2pb              Created container review-controller
57m         Normal    Started                   pod/review-controller-9b8468d56-lx2pb              Started container review-controller
57m         Warning   Unhealthy                 pod/review-controller-9b8468d56-lx2pb              Startup probe failed: Get "http://10.120.0.22:3003/": dial tcp 10.120.0.22:3003: connect: connection refused
57m         Warning   Unhealthy                 pod/review-controller-9b8468d56-lx2pb              Startup probe failed: Get "http://10.120.0.22:3003/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
35m         Normal    Killing                   pod/review-controller-9b8468d56-lx2pb              Stopping container review-controller
34m         Normal    Scheduled                 pod/review-controller-9b8468d56-mtckl              Successfully assigned default/review-controller-9b8468d56-mtckl to gke-brewstand-prod-default-pool-3be66a7f-b97d
34m         Normal    Pulling                   pod/review-controller-9b8468d56-mtckl              Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/review_controller:latest"
34m         Normal    Pulled                    pod/review-controller-9b8468d56-mtckl              Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/review_controller:latest" in 351ms (351ms including waiting)
34m         Normal    Created                   pod/review-controller-9b8468d56-mtckl              Created container review-controller
34m         Normal    Started                   pod/review-controller-9b8468d56-mtckl              Started container review-controller
34m         Warning   Unhealthy                 pod/review-controller-9b8468d56-mtckl              Startup probe failed: Get "http://10.120.0.26:3003/": dial tcp 10.120.0.26:3003: connect: connection refused
34m         Warning   Unhealthy                 pod/review-controller-9b8468d56-mtckl              Startup probe failed: Get "http://10.120.0.26:3003/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
57m         Normal    Killing                   pod/review-controller-9b8468d56-n66fh              Stopping container review-controller
57m         Normal    SuccessfulDelete          replicaset/review-controller-9b8468d56             Deleted pod: review-controller-9b8468d56-n66fh
57m         Normal    SuccessfulCreate          replicaset/review-controller-9b8468d56             Created pod: review-controller-9b8468d56-lx2pb
35m         Normal    SuccessfulDelete          replicaset/review-controller-9b8468d56             Deleted pod: review-controller-9b8468d56-lx2pb
34m         Normal    SuccessfulCreate          replicaset/review-controller-9b8468d56             Created pod: review-controller-9b8468d56-mtckl
34m         Normal    SuccessfulRescale         horizontalpodautoscaler/review-controller-hpa      New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/review-controller-hpa      No recommendation
34m         Normal    ScalingReplicaSet         deployment/review-controller                       Scaled up replica set review-controller-9b8468d56 to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/review-controller                       Scaled down replica set review-controller-9b8468d56 to 1 from 2
55m         Normal    Scheduled                 pod/review-service-597668f76b-5g26j                Successfully assigned default/review-service-597668f76b-5g26j to gke-brewstand-prod-default-pool-3be66a7f-6hm7
55m         Normal    Pulling                   pod/review-service-597668f76b-5g26j                Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/review_service:latest"
55m         Normal    Pulled                    pod/review-service-597668f76b-5g26j                Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/review_service:latest" in 349ms (349ms including waiting)
55m         Normal    Created                   pod/review-service-597668f76b-5g26j                Created container review-service
55m         Normal    Started                   pod/review-service-597668f76b-5g26j                Started container review-service
34m         Normal    Scheduled                 pod/review-service-597668f76b-ss4qh                Successfully assigned default/review-service-597668f76b-ss4qh to gke-brewstand-prod-default-pool-3be66a7f-kp5s
34m         Normal    Pulling                   pod/review-service-597668f76b-ss4qh                Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/review_service:latest"
34m         Normal    Pulled                    pod/review-service-597668f76b-ss4qh                Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/review_service:latest" in 328ms (328ms including waiting)
34m         Normal    Created                   pod/review-service-597668f76b-ss4qh                Created container review-service
34m         Normal    Started                   pod/review-service-597668f76b-ss4qh                Started container review-service
57m         Normal    Killing                   pod/review-service-597668f76b-wpzzl                Stopping container review-service
35m         Normal    Killing                   pod/review-service-597668f76b-xd27x                Stopping container review-service
57m         Normal    SuccessfulDelete          replicaset/review-service-597668f76b               Deleted pod: review-service-597668f76b-wpzzl
55m         Normal    SuccessfulCreate          replicaset/review-service-597668f76b               Created pod: review-service-597668f76b-5g26j
35m         Normal    SuccessfulDelete          replicaset/review-service-597668f76b               Deleted pod: review-service-597668f76b-xd27x
34m         Normal    SuccessfulCreate          replicaset/review-service-597668f76b               Created pod: review-service-597668f76b-ss4qh
34m         Normal    SuccessfulRescale         horizontalpodautoscaler/review-service-hpa         New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/review-service-hpa         No recommendation
34m         Normal    ScalingReplicaSet         deployment/review-service                          Scaled up replica set review-service-597668f76b to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/review-service                          Scaled down replica set review-service-597668f76b to 1 from 2
34m         Normal    Scheduled                 pod/user-controller-686966c954-6kh8s               Successfully assigned default/user-controller-686966c954-6kh8s to gke-brewstand-prod-default-pool-3be66a7f-k8r3
34m         Normal    Pulling                   pod/user-controller-686966c954-6kh8s               Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_controller:latest"
34m         Normal    Pulled                    pod/user-controller-686966c954-6kh8s               Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_controller:latest" in 3.701s (3.701s including waiting)
34m         Normal    Created                   pod/user-controller-686966c954-6kh8s               Created container user-controller
34m         Normal    Started                   pod/user-controller-686966c954-6kh8s               Started container user-controller
34m         Warning   Unhealthy                 pod/user-controller-686966c954-6kh8s               Startup probe failed: Get "http://10.120.1.24:3002/": dial tcp 10.120.1.24:3002: connect: connection refused
34m         Warning   Unhealthy                 pod/user-controller-686966c954-6kh8s               Startup probe failed: Get "http://10.120.1.24:3002/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
57m         Normal    Scheduled                 pod/user-controller-686966c954-7h7x5               Successfully assigned default/user-controller-686966c954-7h7x5 to gke-brewstand-prod-default-pool-3be66a7f-1716
57m         Normal    Pulling                   pod/user-controller-686966c954-7h7x5               Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_controller:latest"
57m         Normal    Pulled                    pod/user-controller-686966c954-7h7x5               Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_controller:latest" in 377ms (377ms including waiting)
57m         Normal    Created                   pod/user-controller-686966c954-7h7x5               Created container user-controller
57m         Normal    Started                   pod/user-controller-686966c954-7h7x5               Started container user-controller
57m         Warning   Unhealthy                 pod/user-controller-686966c954-7h7x5               Startup probe failed: Get "http://10.120.7.23:3002/": dial tcp 10.120.7.23:3002: connect: connection refused
56m         Warning   Unhealthy                 pod/user-controller-686966c954-7h7x5               Startup probe failed: Get "http://10.120.7.23:3002/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
35m         Normal    Killing                   pod/user-controller-686966c954-7h7x5               Stopping container user-controller
57m         Normal    Killing                   pod/user-controller-686966c954-tsnbl               Stopping container user-controller
57m         Normal    SuccessfulDelete          replicaset/user-controller-686966c954              Deleted pod: user-controller-686966c954-tsnbl
57m         Normal    SuccessfulCreate          replicaset/user-controller-686966c954              Created pod: user-controller-686966c954-7h7x5
35m         Normal    SuccessfulDelete          replicaset/user-controller-686966c954              Deleted pod: user-controller-686966c954-7h7x5
34m         Normal    SuccessfulCreate          replicaset/user-controller-686966c954              Created pod: user-controller-686966c954-6kh8s
34m         Normal    SuccessfulRescale         horizontalpodautoscaler/user-controller-hpa        New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/user-controller-hpa        No recommendation
34m         Normal    ScalingReplicaSet         deployment/user-controller                         Scaled up replica set user-controller-686966c954 to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/user-controller                         Scaled down replica set user-controller-686966c954 to 1 from 2
57m         Normal    Scheduled                 pod/user-repository-75d689c8bb-4hqb8               Successfully assigned default/user-repository-75d689c8bb-4hqb8 to gke-brewstand-prod-default-pool-3be66a7f-h8x6
57m         Normal    Pulling                   pod/user-repository-75d689c8bb-4hqb8               Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_repository:latest"
56m         Normal    Pulled                    pod/user-repository-75d689c8bb-4hqb8               Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_repository:latest" in 368ms (368ms including waiting)
56m         Normal    Created                   pod/user-repository-75d689c8bb-4hqb8               Created container user-repository
56m         Normal    Started                   pod/user-repository-75d689c8bb-4hqb8               Started container user-repository
56m         Warning   Unhealthy                 pod/user-repository-75d689c8bb-4hqb8               Startup probe failed: dial tcp 10.120.6.27:50061: connect: connection refused
35m         Normal    Killing                   pod/user-repository-75d689c8bb-4hqb8               Stopping container user-repository
35m         Normal    Scheduled                 pod/user-repository-75d689c8bb-586lc               Successfully assigned default/user-repository-75d689c8bb-586lc to gke-brewstand-prod-default-pool-3be66a7f-h8x6
35m         Normal    Pulling                   pod/user-repository-75d689c8bb-586lc               Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_repository:latest"
35m         Normal    Pulled                    pod/user-repository-75d689c8bb-586lc               Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_repository:latest" in 337ms (338ms including waiting)
35m         Normal    Created                   pod/user-repository-75d689c8bb-586lc               Created container user-repository
35m         Normal    Started                   pod/user-repository-75d689c8bb-586lc               Started container user-repository
35m         Warning   Unhealthy                 pod/user-repository-75d689c8bb-586lc               Startup probe failed: dial tcp 10.120.6.32:50061: connect: connection refused
57m         Normal    Killing                   pod/user-repository-75d689c8bb-zwbms               Stopping container user-repository
57m         Normal    SuccessfulDelete          replicaset/user-repository-75d689c8bb              Deleted pod: user-repository-75d689c8bb-zwbms
57m         Normal    SuccessfulCreate          replicaset/user-repository-75d689c8bb              Created pod: user-repository-75d689c8bb-4hqb8
35m         Normal    SuccessfulDelete          replicaset/user-repository-75d689c8bb              Deleted pod: user-repository-75d689c8bb-4hqb8
35m         Normal    SuccessfulCreate          replicaset/user-repository-75d689c8bb              Created pod: user-repository-75d689c8bb-586lc
35m         Normal    SuccessfulRescale         horizontalpodautoscaler/user-repository-hpa        New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/user-repository-hpa        No recommendation
35m         Normal    ScalingReplicaSet         deployment/user-repository                         Scaled up replica set user-repository-75d689c8bb to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/user-repository                         Scaled down replica set user-repository-75d689c8bb to 1 from 2
56m         Normal    Scheduled                 pod/user-service-77c665cf8b-7pkwz                  Successfully assigned default/user-service-77c665cf8b-7pkwz to gke-brewstand-prod-default-pool-3be66a7f-b97d
56m         Normal    Pulling                   pod/user-service-77c665cf8b-7pkwz                  Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_service:latest"
56m         Normal    Pulled                    pod/user-service-77c665cf8b-7pkwz                  Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_service:latest" in 359ms (359ms including waiting)
56m         Normal    Created                   pod/user-service-77c665cf8b-7pkwz                  Created container user-service
56m         Normal    Started                   pod/user-service-77c665cf8b-7pkwz                  Started container user-service
35m         Normal    Killing                   pod/user-service-77c665cf8b-7pkwz                  Stopping container user-service
34m         Normal    Scheduled                 pod/user-service-77c665cf8b-fzxml                  Successfully assigned default/user-service-77c665cf8b-fzxml to gke-brewstand-prod-default-pool-3be66a7f-b97d
33m         Normal    Pulling                   pod/user-service-77c665cf8b-fzxml                  Pulling image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_service:latest"
33m         Normal    Pulled                    pod/user-service-77c665cf8b-fzxml                  Successfully pulled image "europe-southwest1-docker.pkg.dev/cloud-computing-project-416422/brewstand-repo/user_service:latest" in 352ms (352ms including waiting)
33m         Normal    Created                   pod/user-service-77c665cf8b-fzxml                  Created container user-service
33m         Normal    Started                   pod/user-service-77c665cf8b-fzxml                  Started container user-service
57m         Normal    Killing                   pod/user-service-77c665cf8b-xf45w                  Stopping container user-service
57m         Warning   Unhealthy                 pod/user-service-77c665cf8b-xf45w                  Readiness probe failed: dial tcp 10.120.0.11:50051: connect: connection refused
57m         Normal    SuccessfulDelete          replicaset/user-service-77c665cf8b                 Deleted pod: user-service-77c665cf8b-xf45w
56m         Normal    SuccessfulCreate          replicaset/user-service-77c665cf8b                 Created pod: user-service-77c665cf8b-7pkwz
35m         Normal    SuccessfulDelete          replicaset/user-service-77c665cf8b                 Deleted pod: user-service-77c665cf8b-7pkwz
34m         Normal    SuccessfulCreate          replicaset/user-service-77c665cf8b                 Created pod: user-service-77c665cf8b-fzxml
34m         Normal    SuccessfulRescale         horizontalpodautoscaler/user-service-hpa           New size: 2; reason: cpu resource utilization (percentage of request) above target
60m         Warning   FailedGetResourceMetric   horizontalpodautoscaler/user-service-hpa           No recommendation
34m         Normal    ScalingReplicaSet         deployment/user-service                            Scaled up replica set user-service-77c665cf8b to 2 from 1
35m         Normal    ScalingReplicaSet         deployment/user-service                            Scaled down replica set user-service-77c665cf8b to 1 from 2
